scenario,scenario_id,seed,model,inferred_alpha,inferred_beta,true_alpha,true_beta,alpha_error,beta_error
Baseline Market,baseline_market,2028,Naive Aggregate,-0.7317065494229463,-0.06395633603710765,1.3838206598814387,-0.58494677956734,-2.115527209304385,0.5209904435302324
Baseline Market,baseline_market,2028,Hierarchical Bayesian,1.3015053150603106,-0.5737355079908046,1.3838206598814387,-0.58494677956734,-0.08231534482112801,0.011211271576535342
Baseline Market,baseline_market,2028,Misspecified Linear,0.29032724138200583,-0.008219038666940319,1.3838206598814387,-0.58494677956734,-1.093493418499433,0.5767277409003997
High Inventory Constraint,high_inventory_constraint,2028,Naive Aggregate,-1.3458869735492809,-0.08948245893219517,1.6436010755375732,-0.5389368493401506,-2.9894880490868543,0.44945439040795543
High Inventory Constraint,high_inventory_constraint,2028,Hierarchical Bayesian,-1.2016598820056748,-0.2205768452984647,1.6436010755375732,-0.5389368493401506,-2.845260957543248,0.31836000404168596
High Inventory Constraint,high_inventory_constraint,2028,Misspecified Linear,0.1562733865149848,-0.005300772388908241,1.6436010755375732,-0.5389368493401506,-1.4873276890225884,0.5336360769512424
High Segment Heterogeneity,high_segment_heterogeneity,2028,Naive Aggregate,-0.9560350502723383,-0.027949649864704662,1.8271497527720493,-0.5384328624737666,-2.7831848030443878,0.5104832126090619
High Segment Heterogeneity,high_segment_heterogeneity,2028,Hierarchical Bayesian,-0.3724044528159878,-0.23261513416862142,1.8271497527720493,-0.5384328624737666,-2.1995542055880373,0.3058177283051452
High Segment Heterogeneity,high_segment_heterogeneity,2028,Misspecified Linear,0.27047760542913607,-0.00442078820178599,1.8271497527720493,-0.5384328624737666,-1.5566721473429133,0.5340120742719806
