scenario,scenario_id,seed,model,brier_score,log_loss,calibration_bias,oracle_probability_rmse
Baseline Market,baseline_market,2028,Hierarchical Bayesian,0.14423554452209644,0.9990613838664131,-0.11443722101383803,0.30678499778825263
Baseline Market,baseline_market,2028,Misspecified Linear,0.13006790909942909,0.422590505171129,-7.018691183802162e-17,0.28101198407845224
Baseline Market,baseline_market,2028,Naive Aggregate,0.11890541605921359,0.3726856198440334,1.8499999999468077e-7,0.27407332253816175
High Inventory Constraint,high_inventory_constraint,2028,Hierarchical Bayesian,0.06495926174648767,0.28751499798368935,-0.04331242781031985,0.3335011028005552
High Inventory Constraint,high_inventory_constraint,2028,Misspecified Linear,0.06352759889509453,0.2470348336221995,3.963293219872113e-5,0.31438328936815274
High Inventory Constraint,high_inventory_constraint,2028,Naive Aggregate,0.0615174935128012,0.2207261741422364,2.6562500010001225e-7,0.3115993136858587
High Segment Heterogeneity,high_segment_heterogeneity,2028,Hierarchical Bayesian,0.18208332760535587,0.808183828325735,-0.14534285469559025,0.4614432882319889
High Segment Heterogeneity,high_segment_heterogeneity,2028,Misspecified Linear,0.158717838797836,0.49634059035770295,-1.2850831510036187e-16,0.40403949888723706
High Segment Heterogeneity,high_segment_heterogeneity,2028,Naive Aggregate,0.15294012499175544,0.47715383301532893,1.1590265784159707e-16,0.4009731785723165
